route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
400,0000001642025061320250909,0004330092025061320250909,Piazza Dante "Dogana",1,D170_F0512_Ritorno_sub1,1
536,0000001642025061320250909,0004330152025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330162025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330172025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330182025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330192025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330202025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330212025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330222025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330232025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330242025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330252025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330262025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330272025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330282025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330292025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330302025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330312025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330322025061320250909,Piazza Dante "Pal. Regione",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330332025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330342025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330352025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330362025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330372025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330392025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330402025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
536,0000001642025061320250909,0004330412025061320250909,Sopramonte Piazza Oveno,0,D508_T0141_Andata_PRINCIPALE_sub2,1
536,0000001642025061320250909,0004330422025061320250909,Bolghera "S.Antonio",1,D521_T0156_Ritorno_sub2,1
539,0000001642025061320250909,0004330692025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330702025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330712025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330722025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330732025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330742025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330752025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330762025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330772025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330782025061320250909,Roncafort,1,D164_F0410_Ritorno_sub1,1
539,0000001642025061320250909,0004330802025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330812025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330822025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330832025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330842025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330852025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330862025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330872025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330882025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330892025061320250909,Roncafort,1,D164_F0410_Ritorno_sub1,1
539,0000001642025061320250909,0004330922025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330932025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330942025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330952025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330962025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
